Value,cityname
1,None
2,Acres Green CDP
3,Aetna Estates CDP
4,Air Force Academy CDP
5,Akron
6,Altona CDP
7,Applewood CDP
8,Aristocrat Ranchettes CDP
9,Arriba
10,Arvada
11,Atwood CDP
12,Ault
13,Aurora
14,Avondale CDP
15,Bennett
16,Berkley CDP
17,Berthoud
18,Black Forest CDP
19,Blende CDP
20,Blue Sky CDP
21,Boone
22,Boulder
23,Bow Mar
24,Brick Center CDP
25,Brighton
26,Brookside
27,Broomfield
28,Brush
29,Byers CDP
30,Calhan
31,Canon City
32,Canon City city
33,Castle Pines
34,Castle Pines Village CDP
35,Castle Rock
36,Centennial
37,Cheraw
38,Cherry Creek CDP
39,Cherry Hills Village
40,Cimarron Hills CDP
41,Coal Creek
42,Colorado City CDP
43,Colorado Springs
44,Columbine CDP
45,Columbine Valley
46,Comanche Creek CDP
47,Commerce City
48,Crowley
49,Dacono
50,Dakota Ridge CDP
51,Deer Trail
52,Denver
53,Derby CDP
54,Dove Valley CDP
55,East Pleasant View CDP
56,Eaton
57,Edgewater
58,Elbert CDP
59,Eldorado Springs CDP
60,Elizabeth
61,Ellicott CDP
62,Englewood
63,Erie
64,Evans
65,Fairmount CDP
66,Federal Heights
67,Firestone
68,Florence
69,Fort Carson CDP
70,Fort Collins
71,Fort Lupton
72,Fort Morgan
73,Fountain
74,Fowler
75,Foxfield
76,Franktown CDP
77,Frederick
78,Garden City
79,Genoa
80,Gilcrest
81,Glendale
82,Gleneagle CDP
83,Golden
84,Grand View Estates CDP
85,Greeley
86,Greenwood Village
87,Grover
88,Gunbarrel CDP
89,Haswell
90,Highlands Ranch CDP
91,Hillrose
92,Holly Hills CDP
93,Hudson
94,Hugo
95,Inverness CDP
96,Jackson Lake CDP
97,Johnstown
98,Keenesburg
99,Ken Caryl CDP
100,Kersey
101,Kiowa
102,La Junta
103,La Junta Gardens CDP
104,La Salle
105,La Veta
106,Lafayette
107,Lakeside
108,Lakewood
109,Laporte CDP
110,Larkspur
111,Las Animas
112,Leyner CDP
113,Limon
114,Lincoln Park CDP
115,Littleton
116,Lochbuie
117,Log Lane Village
118,Lone Tree
119,Longmont
120,Louisville
121,Louviers CDP
122,Loveland
123,Manitou Springs
124,Manzanola
125,Mead
126,Meridian CDP
127,Merino
128,Milliken
129,Monument
130,Morgan Heights CDP
131,Morrison
132,Mountain View
133,Niwot CDP
134,North La Junta CDP
135,North Washington CDP
136,Northglenn
137,Nunn
138,Olney Springs
139,Orchard CDP
140,Ordway
141,Padroni CDP
142,Palmer Lake
143,Paragon Estates CDP
144,Parker
145,Penrose CDP
146,Peoria CDP
147,Perry Park CDP
148,Peyton CDP
149,Pierce
150,Platteville
151,Ponderosa Park CDP
152,Pueblo
153,Pueblo West CDP
154,Ramah
155,Raymer
157,Rock Creek Park CDP
158,Rockvale
159,Rocky Ford
160,Roxborough Park CDP
161,Saddle Ridge CDP
162,Salt Creek CDP
163,Security-Widefield CDP
164,Sedalia CDP
165,Severance
166,Shaw Heights CDP
167,Sheridan
168,Sherrelwood CDP
169,Simla
170,Snyder CDP
171,Sterling
172,Stonegate CDP
173,Strasburg CDP
174,Stratmoor CDP
175,Sugar City
176,Superior
177,Swink
178,The Pinery CDP
179,Thornton
180,Thronton
181,Timnath
182,Todd Creek CDP
183,Trail Side CDP
184,Twin Lakes CDP
185,Valmont CDP
186,Vineland CDP
187,Walsenburg
188,Watkins CDP
189,Welby CDP
190,Weldona CDP
191,Wellington
192,West Pleasant View CDP
193,Westminster
194,Wheat Ridge
195,Wiggins
196,Williamsburg
197,Windsor
198,Woodmoor CDP
